#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2023-04-06T20:37:25 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ642f2c8d2a0b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=34	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/444/3258&tab:{J/MNRAS/444/3258/SNe}&key:source=J/MNRAS/444/3258&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/444/3258/SNe
#-order=I
#-out=SN
#-out=z
#-out=S
#-out=MJDmax
#-out=Phase
#-out=V4130
#-out=e_V4130
#-out=W4130
#-out=e_W4130
#-out=V5972
#-out=e_V5972
#-out=W5972
#-out=e_W5972
#-out=V5355
#-out=e_V5355
#-out=W5355
#-out=e_W5355
#-out=V-PVF
#-out=e_V-PVF
#-out=W-PVF
#-out=e_W-PVF
#-out=V-HVF
#-out=e_V-HVF
#-out=W-HVF
#-out=e_W-HVF
#

#RESOURCE=yCat_74443258
#Name: J/MNRAS/444/3258
#Title: Velocities and EW of PTF SNe Ia (Maguire+, 2014)
#Table	J_MNRAS_444_3258_SNe:
#Name: J/MNRAS/444/3258/SNe
#Title: Light-curve information, heliocentric  redshift and spectral measurement information for each SN Ia in the sample
#Column	SN	(A9)	Supernova designation	[ucd=meta.id;meta.main]
#Column	z	(F9.6)	[0/0.2] Heliocentric redshift	[ucd=src.redshift]
#Column	S	(F5.2)	[0.6/1.7] Stretch parameter	[ucd=stat.fit.param]
#Column	MJDmax	(F7.1)	Maximum light MJD	[ucd=time.epoch]
#Column	Phase	(F5.1)	[-18/5] Phase (days after maximum)	[ucd=time.interval]
#Column	V4130	(I5)	[7699/13958]? SiII 4130 line velocity [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V4130	(I4)	[25/2222]? rms uncertainty on V4130 (1) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	W4130	(F4.1)	[1/38]? SiII 4130 pseudo-equivalent width	[ucd=spect.line.width]
#Column	e_W4130	(F4.1)	[0.1/4]? rms uncertainty on W4130 (1)	[ucd=stat.error]
#Column	V5972	(I5)	[8000/19000]? SiII 5972 line velocity [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V5972	(I4)	[15/5352]? rms uncertainty on V5972 (1) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	W5972	(F4.1)	[3/58]? SiII 5972 pseudo-equivalent width	[ucd=spect.line.width]
#Column	e_W5972	(F4.1)	[0.2/3.5]? rms uncertainty on W5972 (1)	[ucd=stat.error]
#Column	V5355	(I5)	[8400/21300]? SiII 5355 line velocity [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V5355	(I4)	[3/600]? rms uncertainty on V5355 (1) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	W5355	(F5.1)	[9/227]? SiII 5355 pseudo-equivalent width	[ucd=spect.line.width]
#Column	e_W5355	(F4.1)	[0.1/7.6]? rms uncertainty on W5355 (1)	[ucd=stat.error]
#Column	V-PVF	(I5)	[8220/25150]? - PVF line velocity (2) [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V-PVF	(I4)	[6/3741]? rms uncertainty on V-PVF (1) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	W-PVF	(F5.1)	[17/343]? - PVF pseudo-equivalent width (2)	[ucd=spect.line.width]
#Column	e_W-PVF	(F4.1)	[0.1/59]? rms uncertainty on W-PVF (1)	[ucd=stat.error]
#Column	V-HVF	(I5)	[14789/38210]? - HVF line velocity (2) [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V-HVF	(I4)	[6/3741]? rms uncertainty on V-HVF (1) [NULL integer written as an empty string]	[ucd=stat.error;phot.color;em.opt.V]
#Column	W-HVF	(F5.1)	[0/426]? - HVF pseudo-equivalent width (2)	[ucd=spect.line.width]
#Column	e_W-HVF	(F4.1)	[0/57]? rms uncertainty on W-HVF (1)	[ucd=stat.error]
SN|z|S|MJDmax|Phase|V4130|e_V4130|W4130|e_W4130|V5972|e_V5972|W5972|e_W5972|V5355|e_V5355|W5355|e_W5355|V-PVF|e_V-PVF|W-PVF|e_W-PVF|V-HVF|e_V-HVF|W-HVF|e_W-HVF
PTF09dxo | 0.052000| 1.08|55092.1| -2.1| 9502| 302|17.6| 0.6| 9632| 301|24.6| 0.9|10924| 298| 98.5| 0.6|     |    |     |    |     |    |     |
PTF09e   | 0.149000| 1.24|54910.9| -0.9| 9361| 306| 4.3| 0.5|     |    |    |    |10349| 300| 68.0| 1.5|     |    |     |    |     |    |     |
PTF09fox | 0.071800| 0.96|55131.7| -8.7|     |    |    |    |     |    |    |    |12542| 149| 82.9| 0.6|     |    |     |    |     |    |     |
PTF09fox | 0.071800| 0.96|55131.7| -3.7|     |    |    |    |10861| 160| 6.8| 0.4|12213| 152| 83.2| 1.4|     |    |     |    |     |    |     |
PTF09fox | 0.071800| 0.96|55131.7|  2.3|10464| 156|10.9| 0.5|10858| 154| 3.2| 0.4|11560| 149|101.8| 0.2|     |    |     |    |     |    |     |
PTF09foz | 0.054320| 0.79|55131.5| -5.5| 7699| 367|24.9| 3.8|     |    |    |    | 9822|  39| 38.6| 0.7|     |    |     |    |     |    |     |
PTF09foz | 0.054320| 0.79|55131.5|  2.5| 8523|  50|21.4| 0.4|10154|  47|15.8| 0.6|10190|  10| 99.4| 0.7|     |    |     |    |     |    |     |
PTF09gce | 0.057500| 0.94|55147.7| -4.7|10671|  97|10.3| 0.7|     |    |    |    |11789|  33| 63.0| 0.6|     |    |     |    |     |    |     |
PTF09gul | 0.072000| 0.69|55148.0| -2.0|     |    |    |    |10486|5352|    |    |11352| 299| 34.1| 0.5|     |    |     |    |     |    |     |
PTF09gvo | 0.139000| 0.76|55142.4|  3.6|10802| 304|11.2| 0.7|11440| 301|16.5| 0.3|11480| 298| 68.4| 0.3|     |    |     |    |     |    |     |
PTF09h   | 0.121000| 0.73|54912.9| -2.9|11643| 300| 6.0| 1.4|     |    |    |    |10979| 299| 31.4| 0.5|     |    |     |    |     |    |     |
PTF09iag | 0.075000| 0.79|55189.6| -5.6|12927| 303|22.3| 1.1|13673| 302|34.4| 0.9|15384| 298|122.9| 1.0|14057| 765|141.9| 6.6|22213| 765| 63.3| 5.8
PTF09qn  | 0.063400| 1.10|55012.4| -4.4|10157| 151|12.7| 0.9|     |    |    |    |11794| 119|115.8| 0.4|10810| 122|111.0| 0.2|19776| 122| 77.4| 0.6
PTF09s   | 0.046000| 1.06|54907.2|  2.8| 7834| 302| 6.2| 0.5|     |    |    |    | 8926| 298| 69.7| 1.3| 8273| 306|100.8| 2.2|14789| 306| 21.3| 1.7
PTF09v   | 0.119000| 1.13|54910.3| -0.3|11710| 299| 2.7| 0.3|     |    |    |    |11386| 300| 58.1| 1.0|     |    |     |    |     |    |     |
PTF10abjv| 0.076000| 1.14|55529.9|  0.1|     |    |    |    |     |    |    |    |10705| 299| 44.4| 0.7|     |    |     |    |     |    |     |
PTF10abws| 0.125000| 0.80|55539.5|  3.5| 9965| 305|15.7| 1.1|11053| 341|19.2| 1.2|11174| 299| 82.9| 1.2|     |    |     |    |     |    |     |
PTF10abwy| 0.078000| 0.91|55543.9| -5.9|10244| 301|20.5| 0.7| 9754| 301|28.0| 0.6|11346| 298|109.7| 0.6|10054| 298| 92.1| 0.2|19534| 298| 52.4| 0.2
PTF10accd| 0.031000| 0.86|55556.0|-13.0|     |    |    |    |     |    |    |    |10937| 337| 25.5| 1.0|     |    |     |    |     |    |     |
PTF10acdd| 0.160600| 1.35|55545.3| -2.3| 9772|  56| 7.3| 0.3|     |    |    |    |10521|  94| 51.0| 2.6|     |    |     |    |     |    |     |
PTF10acnz| 0.062000| 1.33|55567.8| -7.8|     |    |    |    |     |    |    |    |12636| 322| 31.4| 1.2|12445| 300| 87.2| 7.1|19161| 300| 16.0| 0.2
PTF10acqp| 0.170000| 0.89|55562.2| -2.2|     |    |    |    |     |    |    |    |12347| 325| 41.6| 2.5|     |    |     |    |     |    |     |
PTF10bhw | 0.110000| 1.08|55248.2| -0.2|10367| 308|13.4| 1.0|11380| 311|11.9| 0.9|11233| 299| 92.3| 0.9|     |    |     |    |     |    |     |
PTF10bjs | 0.029600| 1.12|55261.8|-12.8|     |    |    |    |     |    |    |    |18656| 124|108.8| 0.9|     |    |     |    |     |    |     |
PTF10bjs | 0.029600| 1.12|55261.8|  0.2|     |    |    |    |     |    |    |    |14926|  89| 63.7| 0.2|14016|  90| 75.4| 0.2|20534|  90|  1.9| 0.1
PTF10cko | 0.064700| 1.19|55266.8| -4.8| 8190|  51|12.2| 0.6|10475|  39|18.9| 0.4|11477|  33|124.0| 0.6| 9648|  33| 80.1| 0.9|19065|  33|205.4| 0.8
PTF10cmj | 0.111550| 1.09|55273.0|  0.0|     |    |    |    |     |    |    |    |10490|  30| 19.7| 0.2|     |    |     |    |     |    |     |
PTF10cwm | 0.079250| 1.14|55271.2|  1.8| 9349|  56|12.6| 0.7| 9860|  67|12.1| 0.6|10525|  18|109.3| 1.3|     |    |     |    |     |    |     |
PTF10cxk | 0.018400| 0.90|55277.6| -1.5| 9916|  36|19.8| 0.5| 9902|  70|20.8| 1.0|10938|  16|112.2| 0.7|10920|  51|134.8| 1.5|17476|  51| 23.0| 0.8
PTF10czc | 0.108400| 1.00|55276.3| -3.3|10920|  67| 6.8| 0.8|     |    |    |    |11396|  63| 53.7| 0.8|     |    |     |    |     |    |     |
PTF10duy | 0.079000| 1.16|55283.3|  1.7| 8917| 304| 4.2| 0.6|     |    |    |    | 9602| 298| 62.1| 0.7| 9341| 305| 27.2| 0.7|18466| 305| 47.8| 1.3
PTF10duz | 0.064000| 0.99|55285.1|  0.9| 9781| 312|19.2| 0.8|11313| 335|17.6| 1.3|11502| 299|121.2| 1.5|11785|2246|197.9|20.4|21067|2246| 32.5|18.2
PTF10egs | 0.127600| 0.96|55286.8| -4.8|     |    |    |    |     |    |    |    |11316| 115| 65.8| 3.7|     |    |     |    |     |    |     |
PTF10elk | 0.062113| 0.76|55287.0| -2.0| 9129|  62|23.0| 0.8| 9957|  49|33.0| 0.8|10095|  38| 88.6| 0.5|10311|  55|131.9| 3.1|17333|  55| 12.9| 0.7
PTF10feg | 0.115000| 1.29|55294.2| -3.2| 7943| 304| 1.6| 0.2|     |    |    |    | 9589| 304| 46.8| 1.1|     |    |     |    |     |    |     |
PTF10fej | 0.110000| 1.07|55292.8| -1.8|11101| 298| 3.7| 0.1|     |    |    |    |12703| 309|112.8| 3.9|     |    |     |    |     |    |     |
PTF10fhb | 0.103000| 0.83|55289.0|  5.0|     |    |    |    |     |    |    |    | 8452| 300| 29.2| 0.8|     |    |     |    |     |    |     |
PTF10fj  | 0.050000| 0.70|55202.8|  2.2| 8165| 301|35.6| 1.6| 9777| 299|42.4| 0.6|10757| 298|152.3| 0.9|10806|3741|254.2|26.5|16625|3741| 23.7|27.7
PTF10fps | 0.022000| 0.73|55311.7| -8.7| 9621| 324| 9.6| 1.0|10446| 299|22.4| 0.6|11527| 298| 93.5| 0.4|10743| 303|125.8| 4.1|20053| 303| 26.1| 0.7
PTF10fxe | 0.099000| 0.99|55318.0|  0.0|12998| 300| 8.1| 0.4|     |    |    |    |14049| 298| 97.5| 0.7|     |    |     |    |     |    |     |
PTF10fxl | 0.029570| 0.99|55317.7|  2.3| 9875|  97|15.2| 1.2|10889|  93|11.6| 0.5|11227|  47|107.1| 0.7|11477| 938|155.9| 1.6|17742| 938|  7.5| 0.7
PTF10fxp | 0.104430| 0.82|55317.4|  1.6|10025|  67|21.4| 1.1|10293|  68|26.6| 1.2|11490|  19|111.9| 0.9|11479|1144|113.9| 8.6|16950|1144| 30.2|10.7
PTF10fxq | 0.107500| 1.09|55321.1|  0.9|     |    |    |    |     |    |    |    |10914|  68| 22.6| 0.6|     |    |     |    |     |    |     |
PTF10fxu | 0.110000| 0.87|55314.4|  4.6| 8007| 308|12.6| 0.8| 9066| 302| 9.2| 0.7| 9679| 298| 93.1| 0.8|     |    |     |    |     |    |     |
PTF10fyl | 0.054600| 0.84|55316.4|  2.6| 9831|  75|21.5| 0.5|10103|  65|22.3| 0.5|10405|  60| 94.5| 0.4|10902| 212|149.9| 5.6|20020| 212| 25.3| 1.2
PTF10fym | 0.074000| 1.08|55314.7|  4.3|     |    |    |    | 8931| 320|42.2| 2.5|10448| 306|161.4| 3.0|11007| 488|188.6|15.3|14845| 488| 33.2| 9.3
PTF10gjx | 0.076000| 0.94|55325.7| -7.7|11522| 302|10.6| 0.8|12278| 423| 6.1| 1.0|12884| 298| 87.0| 0.8|     |    |     |    |     |    |     |
PTF10glo | 0.075000| 1.51|55320.8| -0.8| 9697| 303|24.4| 0.7|11146| 299|16.9| 0.4|11151| 299| 78.2| 1.3|     |    |     |    |     |    |     |
PTF10gmg | 0.062800| 1.03|55323.9| -4.9|11335|  99| 2.1| 0.5|     |    |    |    |12279|  30| 48.6| 0.9|     |    |     |    |     |    |     |
PTF10gmh | 0.103000| 1.05|55318.9|  3.1| 9363| 298|21.2| 0.2|10398| 298|26.8| 0.2|10678| 300| 96.7| 1.3| 9137| 298|123.5| 2.4|16439| 298| 25.2| 0.7
PTF10gmj | 0.082000| 1.00|55315.6|  3.4|10688| 307|11.3| 0.8|10794| 301| 9.3| 0.4|11002| 302| 86.2| 1.4|11649|3226| 57.9| 7.6|18094|3226|  4.8| 7.8
PTF10gnj | 0.078320| 1.00|55319.0|  3.0|     |    |    |    |     |    |    |    |10889|  20| 37.5| 0.5|     |    |     |    |     |    |     |
PTF10goo | 0.086990| 1.11|55320.2|  2.8|     |    |    |    |     |    |    |    |10651|  31| 73.3| 1.2|     |    |     |    |     |    |     |
PTF10gop | 0.097000| 1.16|55319.5|  0.5| 7747| 301| 5.9| 0.6|     |    |    |    |10080| 299| 80.2| 1.0|     |    |     |    |     |    |     |
PTF10goq | 0.088000| 1.22|55322.0|  1.0|10723| 305|19.4| 2.4|     |    |    |    |10910| 303| 84.5| 1.7|     |    |     |    |     |    |     |
PTF10got | 0.083000| 0.86|55315.7|  4.3|     |    |    |    |     |    |    |    |11583| 313| 71.5| 2.8|     |    |     |    |     |    |     |
PTF10gqi | 0.044500| 0.77|55318.0|  4.0|     |    |    |    |10501| 124|16.7| 0.6|11131| 119| 92.9| 0.4|11092| 424|100.5| 1.1|16439| 424|  4.7| 0.4
PTF10gsp | 0.106530| 0.73|55325.8| -3.8|     |    |    |    |     |    |    |    |10360|  54| 30.7| 0.7|     |    |     |    |     |    |     |
PTF10gvl | 0.040000| 0.95|55325.7| -3.7| 9045| 305| 9.3| 0.7|10063| 304| 9.3| 0.4|11773| 298|123.9| 0.8|10497| 301|110.9| 2.3|16734| 301| 32.5| 1.0
PTF10hcu | 0.092500| 0.95|55336.6| -5.6|10420| 135| 7.6| 0.6|     |    |    |    |11811| 168| 54.1| 2.7|     |    |     |    |     |    |     |
PTF10hdm | 0.165000| 1.06|55332.7| -1.7|     |    |    |    |     |    |    |    | 9839| 376| 79.3| 5.4|     |    |     |    |     |    |     |
PTF10hdn | 0.069600| 1.07|55342.4| -5.4| 9576|  71| 8.6| 0.3|     |    |    |    |12451|  65| 82.2| 0.7|     |    |     |    |     |    |     |
PTF10hdv | 0.052200| 1.08|55344.4|-13.3|     |    |    |    |     |    |    |    |18847|  92|128.1| 0.9|     |    |     |    |     |    |     |
PTF10hjw | 0.041700| 0.99|55345.3| -8.3|11675|  62| 3.3| 0.3|     |    |    |    |10976|  76| 46.1| 1.1|     |    |     |    |     |    |     |
PTF10hky | 0.123000| 0.91|55340.1| -3.1|     |    |    |    |     |    |    |    |10565| 309| 62.1| 2.0|     |    |     |    |     |    |     |
PTF10hld | 0.037800| 1.09|55338.1| -1.1|     |    |    |    |     |    |    |    |13477|  92| 70.9| 1.0|12202| 183| 35.7| 1.5|17979| 183| 27.8| 0.6
PTF10hmc | 0.073000| 1.05|55341.4| -4.4|11032| 330| 1.3| 0.3|     |    |    |    |10157| 302| 26.0| 0.7|     |    |     |    |     |    |     |
PTF10hml | 0.054000| 0.80|55351.2|-14.2|     |    |    |    |     |    |    |    |19539| 338|200.9| 7.6|     |    |     |    |     |    |     |
PTF10hmv | 0.032000| 1.18|55351.1|-14.1|     |    |    |    |     |    |    |    |16359| 321| 41.9| 2.0|     |    |     |    |     |    |     |
PTF10hmv | 0.032000| 1.18|55351.1|  4.9| 9087| 299| 9.2| 0.4|12438| 302|18.8| 0.6|10235| 298| 59.7| 0.5|     |    |     |    |     |    |     |
PTF10hne | 0.091000| 1.02|55345.3| -8.3|     |    |    |    |     |    |    |    |11754| 315| 69.7| 2.6|     |    |     |    |     |    |     |
PTF10hrw | 0.048700| 0.93|55349.1| -8.1|10221| 158|17.8| 1.5|10815|  90|30.7| 0.2|11749|  90|103.1| 0.6|11094|  93|113.0| 1.7|19941|  93| 73.9| 0.9
PTF10icb | 0.008600| 0.99|55360.6|-11.6|10805| 164| 6.5| 0.8|11382| 140|11.8| 0.9|12357|  91| 78.7| 0.7|11177|  91| 98.2| 0.7|20847|  91|110.0| 0.6
PTF10icb | 0.008600| 0.99|55360.6| -5.6| 9926| 126| 7.9| 1.1|     |    |    |    |10983|  89| 79.4| 0.4|10040| 101| 49.8| 0.9|18782| 101| 19.6| 0.5
PTF10icb | 0.008600| 0.99|55360.6|  4.4| 9499| 100|12.5| 0.5|11301| 182|14.9| 0.9|10487|  89| 99.1| 0.3|10273|  92|141.2| 0.7|16526|  92| 37.3| 0.3
PTF10ifj | 0.076470| 1.27|55354.4|  1.6|     |    |    |    |     |    |    |    | 9276| 187| 40.2| 2.7|     |    |     |    |     |    |     |
PTF10inf | 0.050000| 0.99|55360.4| -6.4| 8484| 317|14.3| 1.0| 9007| 302|11.7| 0.4|10457| 298|110.6| 0.7| 9553| 320|109.8| 6.4|17638| 320| 56.3| 2.4
PTF10iyc | 0.055000| 1.04|55361.3| -6.3| 9303| 303| 2.7| 0.5|     |    |    |    |10297| 298| 60.9| 0.5|     |    |     |    |     |    |     |
PTF10jab | 0.187000| 1.01|55359.7| -1.7| 9546| 315| 6.1| 1.0| 9370| 318|11.8| 0.9|11126| 298| 59.0| 0.6|     |    |     |    |     |    |     |
PTF10jd  | 0.120000| 0.87|55207.4|  2.6| 9490| 298|25.9| 0.4| 9843| 326|21.4| 1.7|10794| 298|132.2| 0.9|     |    |     |    |     |    |     |
PTF10jdw | 0.076623| 0.87|55365.5| -6.5| 9930|  89|16.8| 1.1|10245|  75|24.9| 0.7|11410|  45| 95.9| 0.5| 9502|  76| 46.3| 0.8|19575|  76| 44.1| 1.9
